,file,cid,pos,lemma,path,fileN,status
34,80516,1,0,purUravas,../TextSegmentation/Pickle_Files/80516.p,80516.p,accepted
35,84623,2,0,pracC,../TextSegmentation/Pickle_Files/84623.p,84623.p,accepted
36,346600,5,0,Bavant,../TextSegmentation/Pickle_Files/346600.p,346600.p,accepted
37,91910,3,9,aBipad,../TextSegmentation/Pickle_Files/91910.p,91910.p,accepted
38,310683,4,0,vyakta,../TextSegmentation/Pickle_Files/310683.p,310683.p,accepted
39,385717,2,4,vIra,../TextSegmentation/Pickle_Files/385717.p,385717.p,accepted
40,142971,2,0,nihan,../TextSegmentation/Pickle_Files/142971.p,142971.p,accepted
41,325578,3,7,aBiDAv,../TextSegmentation/Pickle_Files/325578.p,325578.p,accepted
42,396106,3,0,samavakf,../TextSegmentation/Pickle_Files/396106.p,396106.p,accepted
43,353180,4,0,parityaj,../TextSegmentation/Pickle_Files/353180.p,353180.p,accepted
44,334784,3,0,vikf,../TextSegmentation/Pickle_Files/334784.p,334784.p,accepted
45,98346,2,0,pracC,../TextSegmentation/Pickle_Files/98346.p,98346.p,accepted
46,136036,1,0,pfTivI,../TextSegmentation/Pickle_Files/136036.p,136036.p,accepted
47,372237,0,0,vinyas,../TextSegmentation/Pickle_Files/372237.p,372237.p,accepted
48,388601,1,0,pitf,../TextSegmentation/Pickle_Files/388601.p,388601.p,accepted
49,109195,4,0,SaMkara,../TextSegmentation/Pickle_Files/109195.p,109195.p,accepted
50,379029,4,0,niyatam,../TextSegmentation/Pickle_Files/379029.p,379029.p,accepted
51,60454,1,0,pravyaTay,../TextSegmentation/Pickle_Files/60454.p,60454.p,accepted
52,300045,1,0,Bavant,../TextSegmentation/Pickle_Files/300045.p,300045.p,accepted
54,352993,7,0,anuzaYj,../TextSegmentation/Pickle_Files/352993.p,352993.p,accepted
55,349376,0,0,Bakzay,../TextSegmentation/Pickle_Files/349376.p,349376.p,accepted
56,61188,0,0,DftarAzwrI,../TextSegmentation/Pickle_Files/61188.p,61188.p,accepted
57,129975,2,0,pravac,../TextSegmentation/Pickle_Files/129975.p,129975.p,accepted
58,308351,0,0,jambukeSvara,../TextSegmentation/Pickle_Files/308351.p,308351.p,accepted
59,87858,4,0,zaqguRa,../TextSegmentation/Pickle_Files/87858.p,87858.p,accepted
60,305793,0,0,bali,../TextSegmentation/Pickle_Files/305793.p,305793.p,accepted
61,121070,5,0,parAji,../TextSegmentation/Pickle_Files/121070.p,121070.p,accepted
62,357592,0,0,siMhAsana,../TextSegmentation/Pickle_Files/357592.p,357592.p,accepted
63,98478,2,0,dfS,../TextSegmentation/Pickle_Files/98478.p,98478.p,accepted
64,310379,0,0,itas,../TextSegmentation/Pickle_Files/310379.p,310379.p,accepted
65,91690,5,0,kaScid,../TextSegmentation/Pickle_Files/91690.p,91690.p,accepted
66,317349,2,0,praRam,../TextSegmentation/Pickle_Files/317349.p,317349.p,accepted
67,134338,5,0,samAgam,../TextSegmentation/Pickle_Files/134338.p,134338.p,accepted
68,389690,3,0,prativinDya,../TextSegmentation/Pickle_Files/389690.p,389690.p,accepted
69,330935,4,0,kurusattama,../TextSegmentation/Pickle_Files/330935.p,330935.p,accepted
70,147581,4,0,upe,../TextSegmentation/Pickle_Files/147581.p,147581.p,accepted
71,310626,1,0,kIrti,../TextSegmentation/Pickle_Files/310626.p,310626.p,accepted
72,99239,0,0,trivarga,../TextSegmentation/Pickle_Files/99239.p,99239.p,accepted
73,110490,0,13,tArA,../TextSegmentation/Pickle_Files/110490.p,110490.p,accepted
74,79399,0,0,iha,../TextSegmentation/Pickle_Files/79399.p,79399.p,accepted
75,331607,5,0,pitAmaha,../TextSegmentation/Pickle_Files/331607.p,331607.p,accepted
76,387169,5,0,samantataḥ,../TextSegmentation/Pickle_Files/387169.p,387169.p,accepted
77,83847,7,0,Bavant,../TextSegmentation/Pickle_Files/83847.p,83847.p,accepted
78,322920,1,0,parikzi,../TextSegmentation/Pickle_Files/322920.p,322920.p,accepted
79,95640,1,0,yajYa,../TextSegmentation/Pickle_Files/95640.p,95640.p,accepted
80,149373,1,0,dakziRa,../TextSegmentation/Pickle_Files/149373.p,149373.p,accepted
81,385125,0,4,vfzwi,../TextSegmentation/Pickle_Files/385125.p,385125.p,accepted
82,71600,2,0,prAp,../TextSegmentation/Pickle_Files/71600.p,71600.p,accepted
83,70101,5,2,Agam,../TextSegmentation/Pickle_Files/70101.p,70101.p,accepted
84,369757,4,0,AtatAyin,../TextSegmentation/Pickle_Files/369757.p,369757.p,accepted
85,125213,3,0,nigraha,../TextSegmentation/Pickle_Files/125213.p,125213.p,accepted
86,302388,4,0,yogakzema,../TextSegmentation/Pickle_Files/302388.p,302388.p,accepted
87,315367,3,1,avamardana,../TextSegmentation/Pickle_Files/315367.p,315367.p,accepted
88,100415,5,0,ayuta,../TextSegmentation/Pickle_Files/100415.p,100415.p,accepted
89,310832,1,7,vftti,../TextSegmentation/Pickle_Files/310832.p,310832.p,accepted
90,374670,2,0,darSay,../TextSegmentation/Pickle_Files/374670.p,374670.p,accepted
91,348995,0,0,gomAyu,../TextSegmentation/Pickle_Files/348995.p,348995.p,accepted
92,361824,0,0,jIvay,../TextSegmentation/Pickle_Files/361824.p,361824.p,accepted
93,82032,1,2,vinaya,../TextSegmentation/Pickle_Files/82032.p,82032.p,accepted
94,113139,5,0,vfkodara,../TextSegmentation/Pickle_Files/113139.p,113139.p,accepted
95,334671,1,0,dviviDa,../TextSegmentation/Pickle_Files/334671.p,334671.p,accepted
96,84832,1,0,deveSI,../TextSegmentation/Pickle_Files/84832.p,84832.p,accepted
97,351270,0,0,kaTay,../TextSegmentation/Pickle_Files/351270.p,351270.p,accepted
98,68493,0,0,viSeza,../TextSegmentation/Pickle_Files/68493.p,68493.p,accepted
99,109460,0,5,avaSiz,../TextSegmentation/Pickle_Files/109460.p,109460.p,accepted
100,384737,4,0,dfS,../TextSegmentation/Pickle_Files/384737.p,384737.p,accepted
101,320822,0,0,vidvas,../TextSegmentation/Pickle_Files/320822.p,320822.p,accepted
102,105781,5,0,pariSaNk,../TextSegmentation/Pickle_Files/105781.p,105781.p,accepted
103,339495,1,0,Bagavant,../TextSegmentation/Pickle_Files/339495.p,339495.p,accepted
104,399481,1,0,viviDa,../TextSegmentation/Pickle_Files/399481.p,399481.p,accepted
105,76092,4,0,nAqI,../TextSegmentation/Pickle_Files/76092.p,76092.p,accepted
106,388452,4,0,ji,../TextSegmentation/Pickle_Files/388452.p,388452.p,accepted
107,307673,0,3,AryA,../TextSegmentation/Pickle_Files/307673.p,307673.p,accepted
108,80983,2,0,viviDa,../TextSegmentation/Pickle_Files/80983.p,80983.p,accepted
109,312678,1,0,upAgam,../TextSegmentation/Pickle_Files/312678.p,312678.p,accepted
110,345544,0,0,saMkara,../TextSegmentation/Pickle_Files/345544.p,345544.p,accepted
111,134937,0,21,parimARa,../TextSegmentation/Pickle_Files/134937.p,134937.p,accepted
112,376926,2,0,AnAyay,../TextSegmentation/Pickle_Files/376926.p,376926.p,accepted
113,92127,0,0,indIvara,../TextSegmentation/Pickle_Files/92127.p,92127.p,accepted
114,102018,0,0,kiyant,../TextSegmentation/Pickle_Files/102018.p,102018.p,accepted
115,333958,3,0,sant,../TextSegmentation/Pickle_Files/333958.p,333958.p,accepted
117,344280,3,0,kiyant,../TextSegmentation/Pickle_Files/344280.p,344280.p,accepted
118,80127,0,0,asTi,../TextSegmentation/Pickle_Files/80127.p,80127.p,accepted
119,364591,1,0,sundarI,../TextSegmentation/Pickle_Files/364591.p,364591.p,accepted
120,304707,0,0,kimBUta,../TextSegmentation/Pickle_Files/304707.p,304707.p,accepted
121,312499,2,0,Bagavant,../TextSegmentation/Pickle_Files/312499.p,312499.p,accepted
122,386259,5,0,niSci,../TextSegmentation/Pickle_Files/386259.p,386259.p,accepted
123,344949,1,8,anupalabDi,../TextSegmentation/Pickle_Files/344949.p,344949.p,accepted
124,368009,1,0,daDivAha,../TextSegmentation/Pickle_Files/368009.p,368009.p,accepted
125,95051,3,11,udIray,../TextSegmentation/Pickle_Files/95051.p,95051.p,accepted
126,378460,1,0,tapasy,../TextSegmentation/Pickle_Files/378460.p,378460.p,accepted
127,323258,6,0,hiMs,../TextSegmentation/Pickle_Files/323258.p,323258.p,accepted
128,147535,4,0,asaMSaya,../TextSegmentation/Pickle_Files/147535.p,147535.p,accepted
129,126511,2,0,pfTivI,../TextSegmentation/Pickle_Files/126511.p,126511.p,accepted
130,308989,5,0,darSay,../TextSegmentation/Pickle_Files/308989.p,308989.p,accepted
131,308653,2,0,svargya,../TextSegmentation/Pickle_Files/308653.p,308653.p,accepted
132,330887,3,0,kavi,../TextSegmentation/Pickle_Files/330887.p,330887.p,accepted
133,321708,2,0,samprAp,../TextSegmentation/Pickle_Files/321708.p,321708.p,accepted
134,323974,1,0,mohay,../TextSegmentation/Pickle_Files/323974.p,323974.p,accepted
135,369004,0,1,iz,../TextSegmentation/Pickle_Files/369004.p,369004.p,accepted
136,139503,5,0,mahAjana,../TextSegmentation/Pickle_Files/139503.p,139503.p,accepted
137,314491,5,0,vicitra,../TextSegmentation/Pickle_Files/314491.p,314491.p,accepted
138,96214,0,0,rajanI,../TextSegmentation/Pickle_Files/96214.p,96214.p,accepted
139,58437,0,10,asaMsfzwa,../TextSegmentation/Pickle_Files/58437.p,58437.p,accepted
140,83945,1,0,budDi,../TextSegmentation/Pickle_Files/83945.p,83945.p,accepted
141,141320,0,0,yayAti,../TextSegmentation/Pickle_Files/141320.p,141320.p,accepted
142,149482,4,1,enad,../TextSegmentation/Pickle_Files/149482.p,149482.p,accepted
143,129630,1,2,anuvftti,../TextSegmentation/Pickle_Files/129630.p,129630.p,accepted
144,311331,3,0,saMsf,../TextSegmentation/Pickle_Files/311331.p,311331.p,accepted
145,102054,2,0,sidDa,../TextSegmentation/Pickle_Files/102054.p,102054.p,accepted
146,326316,0,0,nityam,../TextSegmentation/Pickle_Files/326316.p,326316.p,accepted
147,114890,1,0,mahA,../TextSegmentation/Pickle_Files/114890.p,114890.p,accepted
148,80541,0,0,caturdaSan,../TextSegmentation/Pickle_Files/80541.p,80541.p,accepted
149,393168,0,0,pUray,../TextSegmentation/Pickle_Files/393168.p,393168.p,accepted
150,112523,0,0,azwAvakra,../TextSegmentation/Pickle_Files/112523.p,112523.p,accepted
151,87590,4,0,pradA,../TextSegmentation/Pickle_Files/87590.p,87590.p,accepted
152,364369,2,0,Avarjay,../TextSegmentation/Pickle_Files/364369.p,364369.p,accepted
153,344183,0,8,Adi,../TextSegmentation/Pickle_Files/344183.p,344183.p,accepted
154,381911,5,0,mahAtman,../TextSegmentation/Pickle_Files/381911.p,381911.p,accepted
155,103950,2,0,lokapAla,../TextSegmentation/Pickle_Files/103950.p,103950.p,accepted
156,381755,3,6,antarDA,../TextSegmentation/Pickle_Files/381755.p,381755.p,accepted
157,52350,0,0,anujYA,../TextSegmentation/Pickle_Files/52350.p,52350.p,accepted
158,62578,1,6,ekEka,../TextSegmentation/Pickle_Files/62578.p,62578.p,accepted
159,381410,2,0,vyAdA,../TextSegmentation/Pickle_Files/381410.p,381410.p,accepted
160,356573,4,0,ekEka,../TextSegmentation/Pickle_Files/356573.p,356573.p,accepted
161,105862,7,0,pArTiva,../TextSegmentation/Pickle_Files/105862.p,105862.p,accepted
162,71524,2,3,asamaYjasa,../TextSegmentation/Pickle_Files/71524.p,71524.p,accepted
163,123147,1,4,avagam,../TextSegmentation/Pickle_Files/123147.p,123147.p,accepted
164,363872,4,0,gomuKa,../TextSegmentation/Pickle_Files/363872.p,363872.p,accepted
165,385224,0,0,kakzyA,../TextSegmentation/Pickle_Files/385224.p,385224.p,accepted
166,345419,3,0,parivAray,../TextSegmentation/Pickle_Files/345419.p,345419.p,accepted
167,65064,3,0,caturdaSan,../TextSegmentation/Pickle_Files/65064.p,65064.p,accepted
168,388158,2,0,samAruh,../TextSegmentation/Pickle_Files/388158.p,388158.p,accepted
169,100954,2,6,Adih,../TextSegmentation/Pickle_Files/100954.p,100954.p,accepted
170,338964,1,6,saMlI,../TextSegmentation/Pickle_Files/338964.p,338964.p,accepted
171,141658,0,0,yayAti,../TextSegmentation/Pickle_Files/141658.p,141658.p,accepted
172,127258,1,0,Samay,../TextSegmentation/Pickle_Files/127258.p,127258.p,accepted
173,395091,4,0,patti,../TextSegmentation/Pickle_Files/395091.p,395091.p,accepted
174,146542,0,0,Bavant,../TextSegmentation/Pickle_Files/146542.p,146542.p,accepted
175,363229,3,0,AnI,../TextSegmentation/Pickle_Files/363229.p,363229.p,accepted
177,375620,5,9,samanvita,../TextSegmentation/Pickle_Files/375620.p,375620.p,accepted
178,318786,2,11,tatpara,../TextSegmentation/Pickle_Files/318786.p,318786.p,accepted
179,123375,0,12,atI,../TextSegmentation/Pickle_Files/123375.p,123375.p,accepted
180,84348,5,0,aSvatarI,../TextSegmentation/Pickle_Files/84348.p,84348.p,accepted
181,388543,1,0,vyUh,../TextSegmentation/Pickle_Files/388543.p,388543.p,accepted
182,73391,0,5,prayoga,../TextSegmentation/Pickle_Files/73391.p,73391.p,accepted
183,122939,2,0,pariBU,../TextSegmentation/Pickle_Files/122939.p,122939.p,accepted
184,64470,1,0,DaraRI,../TextSegmentation/Pickle_Files/64470.p,64470.p,accepted
185,396548,0,0,anitya,../TextSegmentation/Pickle_Files/396548.p,396548.p,accepted
186,65262,6,0,yaTAsuKam,../TextSegmentation/Pickle_Files/65262.p,65262.p,accepted
187,131593,1,0,SarIrasaMKyAvyAkaraRa,../TextSegmentation/Pickle_Files/131593.p,131593.p,accepted
188,127583,4,0,vijYA,../TextSegmentation/Pickle_Files/127583.p,127583.p,accepted
189,339166,2,0,samBU,../TextSegmentation/Pickle_Files/339166.p,339166.p,accepted
190,388852,0,0,siMhanAda,../TextSegmentation/Pickle_Files/388852.p,388852.p,accepted
191,102211,1,0,varRay,../TextSegmentation/Pickle_Files/102211.p,102211.p,accepted
192,316182,3,0,SaMtanu,../TextSegmentation/Pickle_Files/316182.p,316182.p,accepted
193,79457,2,0,prAp,../TextSegmentation/Pickle_Files/79457.p,79457.p,accepted
194,103475,4,0,virAj,../TextSegmentation/Pickle_Files/103475.p,103475.p,accepted
195,354403,0,0,jawA,../TextSegmentation/Pickle_Files/354403.p,354403.p,accepted
196,390686,1,1,enad,../TextSegmentation/Pickle_Files/390686.p,390686.p,accepted
197,125886,0,0,praBU,../TextSegmentation/Pickle_Files/125886.p,125886.p,accepted
198,140314,0,0,vyakta,../TextSegmentation/Pickle_Files/140314.p,140314.p,accepted
199,365794,3,11,kANkzin,../TextSegmentation/Pickle_Files/365794.p,365794.p,accepted
200,386336,0,0,parirakz,../TextSegmentation/Pickle_Files/386336.p,386336.p,accepted
201,109440,2,0,paricAra,../TextSegmentation/Pickle_Files/109440.p,109440.p,accepted
202,366914,3,0,mAninI,../TextSegmentation/Pickle_Files/366914.p,366914.p,accepted
203,87159,0,0,SarmizWA,../TextSegmentation/Pickle_Files/87159.p,87159.p,accepted
204,359674,0,3,Aveday,../TextSegmentation/Pickle_Files/359674.p,359674.p,accepted
205,149460,2,0,aBitas,../TextSegmentation/Pickle_Files/149460.p,149460.p,accepted
206,126541,0,0,aBivAday,../TextSegmentation/Pickle_Files/126541.p,126541.p,accepted
207,104882,2,0,upasTA,../TextSegmentation/Pickle_Files/104882.p,104882.p,accepted
208,307813,1,0,kali,../TextSegmentation/Pickle_Files/307813.p,307813.p,accepted
209,338390,1,0,prAdurBU,../TextSegmentation/Pickle_Files/338390.p,338390.p,accepted
210,311032,1,0,ekAdaSa,../TextSegmentation/Pickle_Files/311032.p,311032.p,accepted
211,313426,3,0,nihan,../TextSegmentation/Pickle_Files/313426.p,313426.p,accepted
212,390039,3,0,ji,../TextSegmentation/Pickle_Files/390039.p,390039.p,accepted
213,61510,5,4,tAlaka,../TextSegmentation/Pickle_Files/61510.p,61510.p,accepted
214,399095,2,0,sEnya,../TextSegmentation/Pickle_Files/399095.p,399095.p,accepted
215,314015,2,0,namasy,../TextSegmentation/Pickle_Files/314015.p,314015.p,accepted
216,73331,0,0,sarvaja,../TextSegmentation/Pickle_Files/73331.p,73331.p,accepted
217,392745,1,0,AvAray,../TextSegmentation/Pickle_Files/392745.p,392745.p,accepted
218,316264,2,0,pravac,../TextSegmentation/Pickle_Files/316264.p,316264.p,accepted
219,68480,0,4,apaharaRa,../TextSegmentation/Pickle_Files/68480.p,68480.p,accepted
220,85512,2,0,dvAdaSa,../TextSegmentation/Pickle_Files/85512.p,85512.p,accepted
221,77221,1,0,pratisAraRa,../TextSegmentation/Pickle_Files/77221.p,77221.p,accepted
222,339421,0,0,SanEScara,../TextSegmentation/Pickle_Files/339421.p,339421.p,accepted
223,101951,1,0,vical,../TextSegmentation/Pickle_Files/101951.p,101951.p,accepted
224,60037,0,0,pitf,../TextSegmentation/Pickle_Files/60037.p,60037.p,accepted
225,143018,2,0,saMvAray,../TextSegmentation/Pickle_Files/143018.p,143018.p,accepted
226,123625,6,3,aDipa,../TextSegmentation/Pickle_Files/123625.p,123625.p,accepted
227,98234,3,0,BavAnIvrata,../TextSegmentation/Pickle_Files/98234.p,98234.p,accepted
228,312206,0,0,samprati,../TextSegmentation/Pickle_Files/312206.p,312206.p,accepted
229,149139,2,0,avasad,../TextSegmentation/Pickle_Files/149139.p,149139.p,accepted
230,320179,2,0,aBipre,../TextSegmentation/Pickle_Files/320179.p,320179.p,accepted
231,365795,0,0,agrAmya,../TextSegmentation/Pickle_Files/365795.p,365795.p,accepted
232,381357,4,0,SaMkara,../TextSegmentation/Pickle_Files/381357.p,381357.p,accepted
233,328539,0,0,bali,../TextSegmentation/Pickle_Files/328539.p,328539.p,accepted
234,116788,3,0,unnI,../TextSegmentation/Pickle_Files/116788.p,116788.p,accepted
235,339100,2,0,punarAvftti,../TextSegmentation/Pickle_Files/339100.p,339100.p,accepted
236,83504,0,0,mUzA,../TextSegmentation/Pickle_Files/83504.p,83504.p,accepted
237,112592,0,2,aho,../TextSegmentation/Pickle_Files/112592.p,112592.p,accepted
238,397214,0,0,mohay,../TextSegmentation/Pickle_Files/397214.p,397214.p,accepted
239,113149,6,0,mahA,../TextSegmentation/Pickle_Files/113149.p,113149.p,accepted
240,384593,2,0,vimuc,../TextSegmentation/Pickle_Files/384593.p,384593.p,accepted
241,139310,2,0,pratiSru,../TextSegmentation/Pickle_Files/139310.p,139310.p,accepted
242,74477,3,0,SEla,../TextSegmentation/Pickle_Files/74477.p,74477.p,accepted
243,110658,0,0,loBay,../TextSegmentation/Pickle_Files/110658.p,110658.p,rejected
245,320485,6,0,pIqay,../TextSegmentation/Pickle_Files/320485.p,320485.p,accepted
246,346788,0,0,Aveday,../TextSegmentation/Pickle_Files/346788.p,346788.p,accepted
247,397564,2,9,gati,../TextSegmentation/Pickle_Files/397564.p,397564.p,accepted
248,64817,3,5,cArin,../TextSegmentation/Pickle_Files/64817.p,64817.p,accepted
249,83013,0,0,dvi,../TextSegmentation/Pickle_Files/83013.p,83013.p,accepted
250,113783,0,0,varjay,../TextSegmentation/Pickle_Files/113783.p,113783.p,accepted
251,320883,2,4,prajYA,../TextSegmentation/Pickle_Files/320883.p,320883.p,accepted
252,347198,2,0,dApay,../TextSegmentation/Pickle_Files/347198.p,347198.p,accepted
253,381891,6,0,Bagavant,../TextSegmentation/Pickle_Files/381891.p,381891.p,accepted
254,50545,2,0,raTyA,../TextSegmentation/Pickle_Files/50545.p,50545.p,accepted
255,128784,3,0,svid,../TextSegmentation/Pickle_Files/128784.p,128784.p,accepted
256,140703,1,0,Druvam,../TextSegmentation/Pickle_Files/140703.p,140703.p,accepted
257,367772,2,0,kali,../TextSegmentation/Pickle_Files/367772.p,367772.p,accepted
258,314564,0,0,pARigrahaRa,../TextSegmentation/Pickle_Files/314564.p,314564.p,accepted
259,57897,2,0,jawA,../TextSegmentation/Pickle_Files/57897.p,57897.p,accepted
260,115200,0,0,SanEScara,../TextSegmentation/Pickle_Files/115200.p,115200.p,accepted
261,316419,6,0,pUjay,../TextSegmentation/Pickle_Files/316419.p,316419.p,accepted
262,68986,0,0,vAsanOzaDI,../TextSegmentation/Pickle_Files/68986.p,68986.p,accepted
263,105304,4,0,jYA,../TextSegmentation/Pickle_Files/105304.p,105304.p,accepted
264,374887,2,0,kutsay,../TextSegmentation/Pickle_Files/374887.p,374887.p,accepted
265,59597,1,0,pradIp,../TextSegmentation/Pickle_Files/59597.p,59597.p,accepted
266,390989,3,0,divya,../TextSegmentation/Pickle_Files/390989.p,390989.p,accepted
267,144682,0,0,prajYapti,../TextSegmentation/Pickle_Files/144682.p,144682.p,accepted
268,393094,4,0,hita,../TextSegmentation/Pickle_Files/393094.p,393094.p,accepted
269,95615,0,0,yuDizWira,../TextSegmentation/Pickle_Files/95615.p,95615.p,accepted
270,87083,4,0,BfSam,../TextSegmentation/Pickle_Files/87083.p,87083.p,accepted
271,54084,4,0,taTAviDa,../TextSegmentation/Pickle_Files/54084.p,54084.p,accepted
272,343184,2,0,liNga,../TextSegmentation/Pickle_Files/343184.p,343184.p,accepted
273,110055,4,0,pratipAlay,../TextSegmentation/Pickle_Files/110055.p,110055.p,accepted
274,69191,1,0,suKam,../TextSegmentation/Pickle_Files/69191.p,69191.p,accepted
275,129942,1,5,divasa,../TextSegmentation/Pickle_Files/129942.p,129942.p,accepted
276,386522,3,0,zazwi,../TextSegmentation/Pickle_Files/386522.p,386522.p,accepted
277,351697,0,4,samBAvay,../TextSegmentation/Pickle_Files/351697.p,351697.p,accepted
278,327936,1,1,atyarTam,../TextSegmentation/Pickle_Files/327936.p,327936.p,accepted
279,301437,0,0,dvAḥsTa,../TextSegmentation/Pickle_Files/301437.p,301437.p,accepted
280,133345,2,0,vAri,../TextSegmentation/Pickle_Files/133345.p,133345.p,accepted
281,397497,4,0,pravft,../TextSegmentation/Pickle_Files/397497.p,397497.p,accepted
282,87386,4,5,vizRu,../TextSegmentation/Pickle_Files/87386.p,87386.p,accepted
283,143868,4,0,kurujANgala,../TextSegmentation/Pickle_Files/143868.p,143868.p,accepted
284,325352,3,0,jYAti,../TextSegmentation/Pickle_Files/325352.p,325352.p,accepted
285,141274,0,0,yayAti,../TextSegmentation/Pickle_Files/141274.p,141274.p,accepted
286,346565,3,8,avasTA,../TextSegmentation/Pickle_Files/346565.p,346565.p,accepted
287,102743,4,4,samanvita,../TextSegmentation/Pickle_Files/102743.p,102743.p,accepted
288,130615,1,0,parijYA,../TextSegmentation/Pickle_Files/130615.p,130615.p,accepted
289,395114,0,0,viji,../TextSegmentation/Pickle_Files/395114.p,395114.p,accepted
290,308283,3,5,viDAna,../TextSegmentation/Pickle_Files/308283.p,308283.p,accepted
291,110886,1,0,bAhyatas,../TextSegmentation/Pickle_Files/110886.p,110886.p,accepted
292,83584,2,0,paYcaratna,../TextSegmentation/Pickle_Files/83584.p,83584.p,accepted
293,68031,2,0,paritApa,../TextSegmentation/Pickle_Files/68031.p,68031.p,accepted
294,92337,4,1,AsAday,../TextSegmentation/Pickle_Files/92337.p,92337.p,accepted
295,370288,3,10,aBidfS,../TextSegmentation/Pickle_Files/370288.p,370288.p,accepted
296,135687,0,17,kAMsyatAla,../TextSegmentation/Pickle_Files/135687.p,135687.p,accepted
297,364466,1,0,kApAlika,../TextSegmentation/Pickle_Files/364466.p,364466.p,accepted
298,315934,5,0,pratizWA,../TextSegmentation/Pickle_Files/315934.p,315934.p,accepted
299,306066,0,0,atri,../TextSegmentation/Pickle_Files/306066.p,306066.p,accepted
300,77355,3,0,viDAna,../TextSegmentation/Pickle_Files/77355.p,77355.p,accepted
301,335055,4,4,cintA,../TextSegmentation/Pickle_Files/335055.p,335055.p,accepted
302,330918,4,0,sampravartay,../TextSegmentation/Pickle_Files/330918.p,330918.p,accepted
303,54373,3,0,viSramB,../TextSegmentation/Pickle_Files/54373.p,54373.p,accepted
304,355434,0,0,DarmANga,../TextSegmentation/Pickle_Files/355434.p,355434.p,accepted
305,58200,7,0,saMskf,../TextSegmentation/Pickle_Files/58200.p,58200.p,accepted
306,328540,2,0,dfS,../TextSegmentation/Pickle_Files/328540.p,328540.p,accepted
307,341985,1,0,yASoDara,../TextSegmentation/Pickle_Files/341985.p,341985.p,accepted
308,396218,2,9,mahA,../TextSegmentation/Pickle_Files/396218.p,396218.p,accepted
309,300657,5,0,prAp,../TextSegmentation/Pickle_Files/300657.p,300657.p,accepted
310,326613,3,0,avyAvahArika,../TextSegmentation/Pickle_Files/326613.p,326613.p,accepted
311,134245,3,0,kf,../TextSegmentation/Pickle_Files/134245.p,134245.p,accepted
